X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-665310.866747405,4495519.97509522,1719,11,11,73,Av. Miraflores (Sta. María de Ordás),540,1111,1110,241
-665310.866747405,4495519.97509522,1708,12,12,73,Av. Miraflores (Sta. María de Ordás),540,1211,1210,242
-665310.866747405,4495519.97509522,2929,A1,101,73,Av. Miraflores (Sta. María de Ordás),540,10111,10110,243
-665310.866747405,4495519.97509522,3334,A1,101,73,Av. Miraflores (Sta. María de Ordás),540,10113,10111,244
-665078.583111928,4495774.96843474,1985,12,12,74,Av. San Juan de La Salle (Av. Llanes),540,1211,1210,245
-665078.583111928,4495774.96843474,3236,16,16,74,Av. San Juan de La Salle (Av. Llanes),540,1611,1610,246
-665078.583111928,4495774.96843474,3206,A1,101,74,Av. San Juan de La Salle (Av. Llanes),540,10111,10110,247
-665078.583111928,4495774.96843474,3611,A1,101,74,Av. San Juan de La Salle (Av. Llanes),540,10113,10111,248
-659256.204808383,4491716.65844888,1124,39,39,75,Parsi 6 (Parsi 2,540,3912,3910,249
-659256.204808383,4491716.65844888,1124,39,39,75,Parsi 6 (Parsi 2,540,3914,3911,250
-666678.664904379,4496059.90541862,2152,14,14,76,Avenida Sánchez Pizjuán (Doctor Marañón),540,1411,1410,251
-666151.674060107,4496028.89877291,6069,02,2,77,Doctor Leal Castaños (Huerta del Carmen),540,211,210,252
-666151.674060107,4496028.89877291,2416,13,13,77,Doctor Leal Castaños (Huerta del Carmen),540,1311,1310,253
-666151.674060107,4496028.89877291,2621,14,14,77,Doctor Leal Castaños (Huerta del Carmen),540,1411,1410,254
-665777.87575573,4496032.6409388,6366,02,2,78,Sor Francisca Dorotea (Bda. La Barzola),540,211,210,255
-665777.87575573,4496032.6409388,2713,13,13,78,Sor Francisca Dorotea (Bda. La Barzola),540,1311,1310,256
-665777.87575573,4496032.6409388,2918,14,14,78,Sor Francisca Dorotea (Bda. La Barzola),540,1411,1410,257
-665777.87575573,4496032.6409388,2597,16,16,78,Sor Francisca Dorotea (Bda. La Barzola),540,1611,1610,258
-665434.493019787,4495943.36365198,6672,02,2,79,Ronda de Pío XII (Madreselva),540,211,210,259
