latitude,longitude,soil_moisture
72.725525,-109.23237,0.41340902
72.725525,-106.9917,0.2722977
72.725525,-106.24481,0.26678544
72.725525,-105.87137,0.2502921
72.725525,-105.497925,0.18324384
72.725525,-102.13693,0.20997395
72.725525,-101.76349,0.3476361
72.725525,-100.26971,0.23412623
72.725525,-99.89626,0.2708761
72.725525,-99.52282,0.2596084
72.725525,-99.149376,0.27777722
72.725525,-98.77593,0.22564073
72.725525,-98.40249,0.228606
72.725525,-98.029045,0.3137476
72.725525,-97.6556,0.2862254
72.725525,-97.28216,0.29940775
72.725525,-96.908714,0.36497936
72.725525,-95.41494,0.67487586
72.725525,-95.0415,0.021087175
72.725525,-94.29461,0.12780806
72.725525,-93.921165,0.17603691
72.725525,-86.452286,0.6780979
72.725525,-85.33195,0.32123637
72.725525,-84.9585,0.3915848
72.725525,-84.58506,0.1979611
72.725525,-84.21162,0.18806328
72.725525,-83.83817,0.17904897
72.725525,-83.46473,0.18814987
72.725525,-83.091286,0.20156643
72.725525,-82.71784,0.18957096
72.725525,-82.3444,0.19101778
72.725525,-81.970955,0.19052362
72.725525,-81.59751,0.2141849
72.725525,-81.22407,0.19781771
72.725525,-80.850624,0.1827315
72.725525,-79.73029,0.73987824
72.725525,-79.35685,0.5974747
72.725525,-78.983406,0.6998168
72.725525,-78.23651,0.72010916
72.725525,-77.86307,0.060148895
72.725525,-55.456432,0.6997068
72.725525,-55.08299,0.13266206
72.725525,-54.709545,0.18209012
72.725525,-25.207468,0.67732584
72.725525,-24.46058,0.5783566
72.725525,-24.087137,0.414951
72.725525,-23.713694,0.27502397
72.725525,-23.340248,0.29287726
72.725525,-22.966805,0.15475738
72.725525,52.842323,0.19306728
72.725525,69.27386,0.66087335
72.725525,69.6473,0.23210452
72.725525,70.020744,0.2151537
72.725525,70.39419,0.2655231
72.725525,70.76763,0.26191512
72.725525,71.141075,0.3145222
72.725525,71.51453,0.25905803
72.725525,71.88797,0.26076102
72.725525,72.26141,0.26147932
72.725525,75.24896,0.68652797
72.725525,80.850624,0.106693976
72.725525,81.22407,0.1538696
72.725525,81.59751,0.16175683
72.725525,81.970955,0.16173558
72.725525,82.3444,0.14350721
72.725525,82.71784,0.14315298
72.725525,83.091286,0.13295019
72.725525,83.46473,0.14804482
72.725525,83.83817,0.13991392
72.725525,84.21162,0.15087026
72.725525,84.58506,0.15371647
72.725525,84.9585,0.16284305
72.725525,85.33195,0.16291486
72.725525,85.70539,0.1525541
72.725525,86.078835,0.17177933
72.725525,86.452286,0.17524952
72.725525,86.82573,0.16743779
72.725525,87.19917,0.17313743
72.725525,87.57262,0.16989267
72.725525,87.94606,0.19686781
72.725525,88.3195,0.17889152
72.725525,88.69295,0.17888455
72.725525,89.06639,0.18236801
72.725525,89.439835,0.2109151
72.725525,89.81328,0.19217145
72.725525,90.18672,0.1885189
72.725525,90.560165,0.21254079
72.725525,90.93361,0.21467102
72.725525,91.30705,0.22695784
72.725525,91.6805,0.23151739
72.725525,92.05394,0.22147737
72.725525,92.42738,0.19571577
72.725525,92.80083,0.22937061
72.725525,93.17427,0.20751272
72.725525,93.547714,0.20070654
72.725525,93.921165,0.19488676
72.725525,94.29461,0.1880833
72.725525,94.66805,0.18662804
72.725525,95.0415,0.21052645
72.725525,95.41494,0.20356616
72.725525,95.78838,0.20730111
72.725525,96.16183,0.18444791
72.725525,96.53527,0.2124695
72.725525,96.908714,0.21612921
72.725525,97.28216,0.22968562
72.725525,97.6556,0.23668699
72.725525,98.029045,0.25217208
72.725525,98.40249,0.24963033
72.725525,98.77593,0.24934514
72.725525,99.149376,0.24302052
72.725525,99.52282,0.24728836
72.725525,99.89626,0.24974224
72.725525,100.26971,0.22288454
72.725525,100.64315,0.23432343
72.725525,101.016594,0.20877226
72.725525,101.390045,0.22180586
72.725525,101.76349,0.21763246
72.725525,102.13693,0.21116903
