latitude,longitude,soil_moisture,brightness_temperature
73.69126,-120.80913,0.238378,234.25525
73.69126,-120.435684,0.22400178,236.94106
73.69126,-120.06224,0.22895792,237.21735
73.69126,-119.6888,0.23066552,235.84244
73.69126,-119.31535,0.20916478,236.25381
73.69126,-118.94191,0.20482676,235.23865
73.69126,-118.56847,0.2116012,232.53424
73.69126,-118.19502,0.21631749,232.01392
73.69126,-117.82158,0.19954048,235.57614
73.69126,-117.448135,0.17615056,240.06757
73.69126,-117.07469,0.15065771,245.50003
73.69126,-116.70125,0.23747744,231.85986
73.69126,-116.327805,0.23346163,229.10464
73.69126,-100.26971,0.31803328,215.01663
73.69126,-99.89626,0.26945785,222.00476
73.69126,-99.52282,0.23111722,228.1353
73.69126,-99.149376,0.309694,216.09433
73.69126,-98.77593,0.2993856,219.30457
73.69126,-98.40249,0.16119845,242.58118
73.69126,-98.029045,0.15729304,244.28339
73.69126,-97.6556,0.32222027,214.8693
73.69126,-95.41494,0.6591574,218.93045
73.69126,-95.0415,0.48601747,207.10635
73.69126,-94.66805,0.17056523,249.1103
73.69126,-90.93361,0.24621233,231.31558
73.69126,-82.71784,0.12689985,256.11023
73.69126,-82.3444,0.17248389,246.00986
73.69126,-81.970955,0.190517,243.61243
73.69126,-81.59751,0.7329386,122.635
73.69126,-80.47718,0.10383739,260.7615
73.69126,-55.829876,0.40062627,227.25456
73.69126,-24.46058,0.46374145,217.37115
73.69126,-24.087137,0.3562855,227.09
73.69126,-23.713694,0.17097108,256.83978
73.69126,-23.340248,0.15565902,259.79437
73.69126,-22.966805,0.20855924,252.74646
73.69126,-22.59336,0.21800669,248.62817
73.69126,-22.219917,0.19520041,251.90753
73.69126,-21.846474,0.19078064,251.57501
73.69126,-21.473028,0.15970857,251.88606
73.69126,-21.099585,0.42470685,212.56117
73.69126,-20.726141,0.40605724,212.46057
73.69126,54.336098,0.24362169,236.29184
73.69126,54.709545,0.26936767,238.70346
73.69126,57.32365,0.22698301,230.73782
73.69126,84.58506,0.1593753,252.81128
73.69126,84.9585,0.1408954,255.3808
73.69126,85.33195,0.13095348,257.0031
73.69126,85.70539,0.1556882,254.70801
73.69126,86.452286,0.15115885,255.19058
73.69126,87.19917,0.14285432,256.7816
73.69126,87.57262,0.1657584,254.59705
73.69126,87.94606,0.18367061,253.00421
73.69126,88.3195,0.1832897,253.29588
73.69126,88.69295,0.18455978,254.06123
73.69126,89.06639,0.18739775,253.90796
73.69126,89.439835,0.1760332,254.20505
73.69126,89.81328,0.19519809,251.46153
73.69126,90.18672,0.1843289,251.79663
73.69126,90.560165,0.20729166,248.73041
73.69126,90.93361,0.1807377,251.39034
73.69126,91.30705,0.20385045,249.03458
73.69126,91.6805,0.19764696,248.94075
73.69126,92.05394,0.1872347,249.70366
73.69126,92.42738,0.20804952,247.35739
73.69126,92.80083,0.21054906,246.73141
73.69126,93.17427,0.23059477,244.83295
