_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS	Plx	B-V	Survey	Chart	Notes	SpType
168.2703686304	53.3715226619	54793	8.17	168.27040281	53.37152028	2.75	0.965	S	 	 	G5
64.5051422058	-41.3286203068	20054	9.24	64.50512353	-41.32861897	1.69	1.05	 	 	 	K0III
255.505801101	19.0581233232	83345	8.44	255.50581473	19.05812816	3.96	0.124	S	 	 	A0
276.717313629	37.4404815329	90411	8.73	276.71732318	37.44049371	3.13	0.078	S	 	 	A0
23.8996334133	-11.9418521655	7417	9.17	23.89969177	-11.94178411	2.17	0.331	 	 	 	F0V
23.9338705044	39.836569485	7432	9.03	23.93383442	39.83657561	3.99	0.134	 	 	 	A0
129.7987665448	65.0209066257	42438	5.63	129.79892615	65.02069298	70.07	0.618	S	 	 	G1.5Vb
6.4700097765	6.530998587	2039	9.25	6.46969267	6.53144491	17.45	0.838	 	 	 	K0
50.8222126346	-17.4394806411	15775	6.7	50.82225141	-17.43955628	6.12	1.007	S	 	 	K0III
64.0273481181	0.5977982133	19899	7.87	64.02733227	0.59778013	3.43	1.041	S	 	 	G5
244.3761992731	75.7553304456	79822	4.95	244.37708768	75.75470385	33.52	0.393	S	 	 	F5V
136.4099319456	28.7151051043	44627	8.64	136.41009324	28.71513816	7.44	0.442	 	 	 	F5
73.7023396487	-20.3895158364	22835	8.45	73.7022463	-20.38950101	3.63	0.474	S	 	 	F3V
136.516723069	-64.0645710899	44662	10.74	136.51612393	-64.06440698	8.59	0.652	 	G	 	
95.9856981026	64.9114183745	30437	8.35	95.98582444	64.91138126	9.28	0.388	 	 	 	F5
30.6478031985	9.0816773654	9537	7.38	30.64780438	9.08169698	2.68	0.774	S	 	 	G5
120.2046563481	12.6784410462	39183	6.79	120.20467441	12.67844914	2.9	-0.065	S	 	 	B9
91.2228135377	-44.9151973471	28803	8.04	91.22283166	-44.91519567	2.55	1.476	 	 	 	K3III
239.234619953	-56.0030251074	78109	8.67	239.23463395	-56.00300034	0.25	0.113	 	 	 	B9III
212.9423787025	-12.6117661997	69357	7.93	212.94302002	-12.61132994	43.35	0.865	S	 	 	K1V
179.7917082407	-20.3537802424	58451	7.92	179.79133711	-20.35275134	48.04	0.974	S	 	 	K2V
134.1761568512	-63.0484575719	43909	7.2	134.17630352	-63.04849194	5.41	-0.04	S	 	 	B8/B9Vn
150.0071059821	24.5527414413	49018	7.86	150.00773226	24.55282921	30.82	0.868	S	 	P	K0V SB
260.3410261803	-11.9470082567	84928	8.05	260.34106198	-11.94697734	5.64	1.167	 	 	 	K0
36.8697022727	41.0483398455	11436	7.99	36.86964049	41.04840304	6.95	0.039	S	 	 	A0
181.1670364756	31.1332021171	58889	9.94	181.16702631	31.13321444	4.86	1.07	 	 	 	K0III
197.9701807937	35.2748778069	64392	9.43	197.97017475	35.2748763	5.42	0.518	 	 	 	F8V
283.5277666472	-54.353163698	92756	10.43	283.52696106	-54.3530351	40.13	1.27	 	 	 	
109.6547057884	-69.3272548023	35403	8.09	109.65462558	-69.32718891	2.71	0.971	 	 	 	G8/K0III/IV
312.2900782076	-48.7693510155	102751	7.99	312.28975129	-48.76903745	10.09	0.5	S	 	 	F6/F7V
244.5642679547	56.1336384926	79875	8.95	244.56424257	56.13364926	0.52	1.319	 	 	 	K2
175.2157236714	47.6812314031	56983	12.06	175.21647314	47.68147135	0.46	0.943	 	G	 	
227.6313131351	11.6736257585	74253	6.89	227.63130492	11.67357688	1.88	1.655	S	 	 	M2.5III:
